comment_text,label
"Well, son ... you have the courage to stand against Dadagiri of Muslims",OAG
"Most private banks ATMs like HDFC, ICICI etc. are out of the money. Only public bank ATM works",NAG
"Now the question is, Pakistan will stick to it?",OAG
Pakistan is made up of false Muslims who do not know the meaning of unity and impose their thoughts on others ... all the villains have gathered there ...,OAG
"We are against cow slaughter, so of course it will stop the leather production.",NAG
You wonder why the trained ambassador has difficulty paying in a decent restaurant through credit / debit! I can not imagine that a diplomat of a developed nation has no card and only needs cash for dinner.,CAG
How does inflation react to any after-effects of this demon ...?,NAG
Not good work ..... that creates a problem in our sociability,CAG
This is a false news that the Indian media are simply misleading their nation and creating hate ... Media should be careful while spreading the news ... SHAME. :(,NAG
"no permanent enemies, no solid friends. Interest is permanent!",NAG
"Deepak Kumar Sharma Saab ... chalo aap ki Ye baat ek baar man li ... Well, whatever pm Saab has spoken in 2014 ... Kya Kya Kia us head ... He's just a fighter of BJP's nothing else, ek cheez bta do .... but he implements all the bills he opposed before 2014. Example - FDI, GST and list is long ...",NAG
Communist parties have killed the lack of opponents in the WB in 35 years ????? ?,OAG
"Why do you oppose modi's decisions govt, its fact that it's black-money clearing taken ... so many discussions on news channel, individuals
Why so much has been done by the media and that people are scared and provoked",NAG
Rss is a terrorist organization with 3 time bans,OAG
"No
The same spectacle will be there ..
but we will not see an option !!!
😬😜",NAG
"Happy Diwali, let us wish the next year health, prosperity and growth of our Indian economy.",NAG
Lolz ... He said he would employ a large number of cybersecurity people ... do you want to employ illiterate people in this profile?,NAG
"So funny stupid ,,,,,,,",OAG
"absolute! The deeper you dive, the flatter the pillow you have.",CAG
"Brown Sahib, anti-national left-wing communist, media and Muslim supporters of Hindu-O-Lars have milked ""secularism"" to anything worthy of making him a mere failed slogan. The Sick-O-Larism was nothing but the continuation of the British policy of ""divide and rule"". This RSS is in contrast to ""the idea of ​​secularism"", absolutely because it was used as a dagger in the heart of Hindus, Hinduism and Hindustan.",CAG
"Now refined over 20 days moving average, what next 50 days moving average 8359",NAG
Good to see if they can not step into Pak and Afgan and India and so on,NAG
"Above all, there is no Gaurakshak in Assam. The villagers have beaten these two thieves ... these things happen when thieves try to steal the only land that farmers have.",NAG
AAP does not need the monsters like you,OAG
For those who have more than 2 apartments or 2 land legal tranquility must pass properties to govt,CAG
Once upon a time Bengal / Kolkata was the wealthiest states in India. Now it is compared to Bihar / Odisa. Wake up on Mitra. Use your knowledge to help Bengal instead of delivering stupid lectures.,NAG
"Oh Pak army or should Porki Hijada army whose land was not the body of their dickless coward army during Kargil war, army presented in front of the Indian army in 1971 and East Pakistan was exempted from Bangladesh ... And Hijada army could not even save schoolchildren from merciless Killings and Indian troops really reached Lahore in 1965.",OAG
He would be a lonely boss with all the supporters who change with Kejriwal.,NAG
We want to get rid of Indians ... why do not you hear our loud cries?,OAG
"Only 13% of the jio customers were converted to Prime, so they extended the d date",NAG
"Prey of the People's Mandate, is it Democracy?",OAG
again the same in the eyes of the justice he is not a terrorist he is accused in our eyes is a terrorist and he deserves to be killed who ever have a bad eye on our nation he is she should be killed without mercy,OAG
"This problem occurs only in India, not in other countries?",CAG
POSITIONAL BUY JPASSOCIATE ON EACH AGREEMENT 13.00-10.50-7.50-5.50 FOR TARGET 36 AND 56 (TIME FRAME 2-3 YEARS),NAG
In the government office implement the online transactions ... also all parties should show their account transaction for the conduct of their elections in RTI.,CAG
Dramebaaja anna kya bjp ki Regairung aate hokpal and Lokpal bhool gaee mein sharmi aoi noe aatee,OAG
"Unfortunately, what Indian government can do !!!! I did not vote for Modiji to see such crap.",CAG
"It's coward like you, the backstab ... wait and watch ... you forget the day when 2 lakh Porkis soldier were freed from India ... by the way, what ru do in Indian news channels, not your country have their own channels ?",OAG
Hi Anuj revealed divis by 710 what to do and Tata Motor dvr 275 any target,NAG
People talk about the ordinary person who was constantly suffering. This is the same land where thousands gave their lives for freedom. The ordinary man bears little trouble standing in lines for the greater good.,CAG
"I visited 5 atm, but I could withdraw from the money .. not work ..",CAG
"I know you people from Nagaland

And Meghalaya hate bjp

But it is the truth

2 Lok Sabha Seats from these 2 states can not stop Bjp

Assam and Arunachal yes it is important

But these states are becoming strongholds of bjp day after day
Including Manipur

Tripura

And Sikkim",NAG
"Modi ji, all die Pain & Nö Real Gain.",CAG
"Hell with BJP. All political parties are corrupt and I do not like anyone. You are here to make money only, whoever you choose. But the support of Naxalites killing our soldiers on the side of JNU students calling ""Bharat ke tukde Kachenge"" and Afzhal Guru tere Katil jinda hai and brand new ""there is nothing wrong with singing Pakistan zhindabad"" attributed to this man. Therefore, he is decidedly anti-national.",CAG
It was bullying the poor girl .... Instead of helping her ... jump in conclusions .... impulsive,OAG
oh ... I understand ... he says 'fuck you bajaj' that you made me! ',OAG
"udhav hat bjp seinen platz, bravo shivsena",CAG
"Inanimate Ator. Some time ago, India falsely demanded surgical strikes in Pakistan and now called for a Pakistani strike by Pakistan. Wrong again.",CAG
Please advise you about bank sent and how the NPA will benefit for PSU banks?,NAG
Plz share your view on astec life? Bought at 675,NAG
We should use doctrine.learn offensive defensive strategy lessons from Israel .. and give free rein to bleed security forces and covert missions in Pak Pakistan.,NAG
"Tollywood Parbhas The Heart Fans Where is Parbhas Acting in Bahubali 2 😂😂😂😂😂Bahubali 2 It's Graphics Cartoon Movie Do not Compare Indian Cinema Bollywood Movies Khan Acting Aamir, Salman & Shahrukh Acting",CAG
"Shame shame & then claim this so-called educated civilized population of Pakistan, Pakistani army to be professional soldiers .... They are professionals, but are professional terrorists ..... Certainly not soldiers .... Not only India and Indians but Die The global world now understands and recognizes them as professional terrorists.",OAG
"India must prevent Pak soldiers from crossing the LOC and secretly coming to India at any cost. For this purpose we should use the balls generously. At the same time, India should also take a trade embargo on Pakistan and urge the US and other powerful nations to persuade them to introduce economic sanctions against Pakistan indefinitely. Then only this terrorist state would be brought to its knees.",NAG
"Haram - pig
Pig - scavenger
Scavenger - Eat Dead
Harm Dead - Mutilation
Mayhem - Pakistan
Pakistan - pig",OAG
