comment_text,label
Well said sonu..you have the courage to oppose dadagiri Muslims,OAG
"Most ATMs of private banks like HDFC, ICICI etc. are lacking money. Only the ATM of the public sector bank works",NAG
"Now the question is, will Pakistan adhere to that?",OAG
Pakistan is made up of fake Muslims who do not know the sense of unity and impose their thoughts on others ..... all the rascals gathered there ...,OAG
"We are against culling cows, so of course it will stop leather making if that happens.",NAG
You wonder why educated ambassadors are struggling to pay by credit / debit in a decent restaurant! I can not imagine that the diplomat of a developed nation does not have a card and only needs money for dinner.,CAG
How does inflation react to all the subsequent shocks of this demon ...?,NAG
Not good job ..... this mist creating a problem in our society,CAG
This is a false news of the Indian media is simply misleading the nation and create hatred .. Media should be careful v while spreading the news ..SHAME. :(,NAG
"no permanent enemies, no permanent friends. the interest is permanent!",NAG
"Deepak Kumar Sharma Saab ... chalo aap ki Ye baat ek baar mann li ... Now, whatever pm Saab spoke in 2014 ... Kya Kya Kia us main ... He's just a BJP activist nothing of other, ek cheez bta do .... but he implements all the invoices he opposed before 2014 .. Example- FDI, TPS and list is long ...",NAG
The communist parties have killed opponents in WB in 35 years ruling ????? ?,OAG
"Why do you guys counter the modi govt decisions, its done, there is black money cleaning stand taken ... so many discussions on the news channel, individual meetings
Why so much effort by the media and scare people and provoke",NAG
Rss is a terrorist organization three times,OAG
"No
The same game will be there ..
but we will not look at any option !!!
😬😜",NAG
"Happy Diwali., Wish the next year health, wealth and growth to our Indian economy.",NAG
Lolz ... He said he was going to employ a lot of people in the cybersecurity sector. Are you going to use illiterates in this profile?,NAG
"So funny stupid ,,,,,,,,,,,",OAG
absolutely! the more you dive into the shallower cushion you have.,CAG
"Brown Sahib, Anti-Nationalist Left Commissariats, Media and Muslim Procression The sick-O-Lars Hindus betrayed ""secularism"" to all that was worth to make it a simple failed slogan. Sick-O-Larism was only a continuation of the British policy of ""divide and conquer"". This RSS is opposed to ""the idea of ​​secularism"", absolutely because it was used as a dagger in the hearts of Hindus, Hinduism and Hindustan.",CAG
"Now clever above the 20-day moving average, which 50-day moving average following 8359",NAG
Good to see when their in any terroir in pak and afgan and india so in the can for the development stage,NAG
"First, there is no gaurakshak in the assam. The villagers beat these two thieves ... these things happen, when the thieves are trying to steal the only property of the farmers.",NAG
AAP does not need monsters like you,OAG
"For those with more than 2 apartments or 2 lots, legal rest must yield properties to the government.",CAG
"Once upon a time Bengal / Kolkata was the most prosperous states in India. Now he is compared with Bihar / Odisa. Wake Mitra. Use your knowledge to help Bengal, rather than utter a stupid lesson.",NAG
"Oh Pakistani army or should say the Hijada porky army whose country did not except the bodies of their cowardly loose army during the kargil war, army which put forward the Indian army in 1971 and East Pakistan is became Bangladesh ... And the hijada army could not save school children from the ruthless massacres and the Indian forces really reached Lahore in 1965 ..",OAG
He would be a lonely boss with all the supporters of changes with kejriwal.,NAG
We want to get rid of our Indians ...... why do not you hear our cries,OAG
"Only 13% of jio customers converted into bonuses, so they extended their date😁",NAG
Is the spoils of the people democracy?,OAG
"again the same thing in the eyes of the judiciary, he is not terrorist, he is accused to us is a terrorist and he deserved to kill who never keep a bad eye on our nation, he must be killed without mercy",OAG
This problem only occurs in India not in other countries?,CAG
POSITIONING BUY JPASSOCIATE ON EACH DECLINE 13.00-10.50-7.50-5.50 FOR TARGETS 36 AND 56 (FRAME OF 2 TO 3 YEARS),NAG
In the government office to implement online transactions ... all parties should also show their account transaction for the execution of their elections in RTI.,CAG
Dramebaaj anna kya bjp ki gouvernement aate hokpal facture aur ke lokpal bhool gaye sharmai aoi noe aatee,OAG
Unfortunately it is Indian wat govt is able to do !!!! ... i decided to vote for modiji to see such shit ..,CAG
