comment_text,label
Well said son ... you have the courage to face Dadagiri of Muslims,OAG
"The majority of Private Banks ATMs such as HDFC, ICICI, etc. They do not have cash. Only the public sector bank's ATM works",NAG
"Now the question is, will Pakistan adhere to this?",OAG
Pakistan is composed of false Muslims who do not know the meaning of unity and impose their thoughts on others ... all the rascals have gathered there ...,OAG
"""We are against the killing of cows, so if it happens, it will stop the manufacture of leather.",NAG
Wondering why Educated Ambassador is struggling to pay through credit / debit at a decent restaurant! I can not imagine that a diplomat of a developed nation does not have a Card and that he needs cash only for dinner.,CAG
How does inflation react to all the subsequent shocks of this demon ...?,NAG
It's not a good job ... this guide creates a problem in our socacity,CAG
This is a false news. The Indian media are simply mistaking the nation and creating hatred ... The press must be careful to spread the news ... NAME. :(,NAG
"without permanent enemies, without permanent friends. the interest is permanent!",NAG
"Deepak Kumar Sharma Saab ... chaap aap ki Ye baat ek baar mann li ... Now whatever Saab has seen in 2014 ... Kya kya Kia us main ... He is just an activist of BJP nothing more , ek cheez bta do .... but he is implementing all the invoices he opposed before 2014 ... Example: FDI, GST and the list is long ...",NAG
Did the communist parties kill the opponents in the WB in 35 years ruling ????? ?,OAG
"Why you counter the decisions of the modern government, it is a fact that a measure of cleanliness of the black money has been taken ... so many discussions in the news channel, individual meetings
Why so many efforts made by the media and make people scare and provoke",NAG
Rss is a terrorist organization with 3 time bans,OAG
"Do not
The same performance will be there ..
but we will not see any option !!!
😬😜",NAG
"Happy Diwali We wish the health, economic growth and health of our next year!",NAG
Lolz ... He said he's going to employ a large number of people in the cybersecurity sector ... Are you going to employ illiterate people in that profile ... ???,NAG
"So funny stupid ,,,,,,,,",OAG
"absolutely! the deeper you dive, the softer the mattress you have.",CAG
"Brown Sahib, the national anti-leftist communists, the media and the Muslim pimps The Hindu sick-O-Lars have milked the ""secularism"" to everything that was worth to turn it into a mere unsuccessful slogan. Sick-O-Larism has been nothing more than the continuation of the British policy of ""divide and conquer"". That RSS is opposed to ""the idea of ​​secularism"", absolutely because it has been used as a dagger in the hearts of Hindus, Hinduism and Hindustan.",CAG
"Now witty above the 20-day moving average, what next 50-day moving average? 8359",NAG
"It is good to see when they are without terror in Pakistan and Afghanistan and India, so canned for the development step",NAG
"First of all, there is no gaurakshak in assam. The villagers beat those two thieves ... these things happen, when the thieves try to steal the only property the farmers have.",NAG
AAP does not need monsters like you,OAG
"For those who have more than 2 floors or 2 plots of land, the legal rest has to deliver properties to the government",CAG
"Once upon a time Bengal / Kolkata was more prosperous states in India. Now it is compared to Bihar / Odisa. Wake up Mitra. Use your knowledge to help Bengal, instead of giving a stupid lecture.",NAG
"Oh army Pak or should I say army porki daughtered whose country did not exempt the corpses of its coward army without numbness during the war of kargil, army that was presented in front of the Indian army in 1971 and eastern Pakistan became Bangladesh ... And the army Daughter did not even save children from the school of merciless murders and the Indian forces really came to Lahore in 1965 ..",OAG
It would be a single boss with all the turns of followers with kejriwal.,NAG
"We want to get rid of you, Indians ... why do not you hear our cries?",OAG
"Only 13% of jio's clients became cousins, so they extended date.",NAG
"The spoils of the spoils of people, is it democracy?",OAG
"once again the same in the eyes of the judiciary that is not a terrorist that is accused in our eyes is terrorist and that deserves to kill whoever is ever watching our nation badly, he is she must be assassinated mercilessly",OAG
"This problem occurs only in India, not in other countries?",CAG
POSITIONAL ACQUISITION OF JPASSOCIATE IN EACH DECLINATION 13.00-10.50-7.50-5.50 FOR OBJECTIVE 36 AND 56 (TIME FRAME 2-3 YEARS),NAG
"In the government office, implement online transactions ... also all parties must show their account transactions to make their choices in RTI.",CAG
Dramebaaj anna kya bjp ki gobierno aate hokpal bill and ko lokpal bhool gaye sharmi aoi noe aatee,OAG
"Unfortunately, this is the Indian government of wat that is capable of doing !!!! ... I do not want to vote for modiji to see so much garbage ...",CAG
"it's cowardly like you who stabs ... just wait and watch ... you forgot the day when 2 lakh porkis soldier were released from India ... by the way, what would you do in the Indian news channel, not your country Do you have your own channels?",OAG
Hello Anuj brought splitter to days in 710 what to do and Tata engine dvr 275 any objective,NAG
People talk about the common man suffering all the time. This is the same country where thousands of people put their lives for freedom. He thought that the common man had no problem queuing for the common good.,CAG
"I visited 5 atm, but I was able to withdraw money ... it did not work ...",CAG
